"Annotations";"Received in Downtime";"Severity";"Time Created (Europe/Madrid)";"Assigned User";"Type";"Duplicate Count";"Node";"Category";"Responsable";"Instrucción";"Application";"Object";"Title";"Related CI"
"FALSE";"FALSE";"Major";"2021-04-30T15:12:15.000+0200";"";"AUTO";"7757";"latdb01.labalm.mercadona.es";"Almacenamiento";"";"";"System";"FileSystemSpace:/home";"Uso de /home al 80.850000 (Umbral: 80)";"latdb01.labalm.mercadona.es"
"FALSE";"FALSE";"Normal";"2021-05-27T13:37:11.000+0200";"";"";"0";"pvvgo0015.ofidona.net";"Virtualizacion_ADM";"";"";"vmware";"";"(Sin Formato): ""_OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056226)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:36:11 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
"" - [
[1] .1.3.6.1.4.1.6876.4.3.308.0 (Integer): 2 
[2] .1.3.6.1.4.1.6876.4.3.304.0 (OctetString): Critical 
[3] .1.3.6.1.4.1.6876.4.3.305.0 (OctetString): Normal 
[4] .1.3.6.1.4.1.6876.4.3.306.0 (OctetString): _OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056226)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:36:11 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
 
[5] .1.3.6.1.4.1.6876.4.3.307.0 (OctetString): albesx03.alb.mercadona.es ]";"pvvgo0015.ofidona.net"
"TRUE";"FALSE";"Major";"2021-05-26T22:31:19.000+0200";"Francisco José Pulido Ruiz";"AUTO";"181";"iv1dl0355.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0355.itg.mercadona.com"
"FALSE";"FALSE";"Major";"2021-05-25T10:02:05.000+0200";"Francisco José Pulido Ruiz";"AUTO";"619";"tvvil0191.ccv.mercadona.com";"Almacenamiento";"";"";"Sistema";"FileSystemSpace:/home";"Uso de /home al 84.310000 (Umbral: 80)";"tvvil0191.ccv.mercadona.com"
"TRUE";"FALSE";"Major";"2021-05-26T22:29:04.000+0200";"Francisco José Pulido Ruiz";"AUTO";"181";"iv1dl0023.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0023.itg.mercadona.com"
"TRUE";"FALSE";"Major";"2021-05-26T22:38:14.000+0200";"Francisco José Pulido Ruiz";"AUTO";"180";"iv1dl0583.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0583.itg.mercadona.com"
"FALSE";"FALSE";"Normal";"2021-05-27T13:37:04.000+0200";"";"AUTO";"0";"pvvgl0285.ccv.mercadona.com";"OMi_ADM";"";"";"Pulso_OMi";"Check_telnet";"Ha llegado el telnet a la base de datos de TOMUT";"pvvgl0285.ccv.mercadona.com"
"FALSE";"FALSE";"Normal";"2021-05-27T13:37:03.000+0200";"";"AUTO";"0";"pvvgl0286.ccv.mercadona.com";"OMi_ADM";"";"";"Pulso_OMi";"Check_telnet";"Ha llegado el telnet a la base de datos de TOMUT";"pvvgl0286.ccv.mercadona.com"
"TRUE";"FALSE";"Minor";"2021-05-27T11:07:02.000+0200";"iruicas";"AUTO";"10";"pvvgl0305.ccv.mercadona.com";"Explotacion_Batch";"Aplicacion";"EX-G1004:https://confluence.mercadona.com/x/MYF4Bw";"ControlJobs_CPD";"GESTION_COPIAS_pvvgw0001/ttrje01p/DATA_NET_pasivo";"Esta retrasandose";"JOB (pvvgl0305.ccv.mercadona.com)"
"TRUE";"FALSE";"Minor";"2021-05-27T13:22:01.000+0200";"agarcsim";"AUTO";"1";"pvvgl0305.ccv.mercadona.com";"Explotacion_Batch";"Aplicacion";"EX-G1004:https://confluence.mercadona.com/x/MYF4Bw";"ControlJobs_CPD";"GESTION_COPIAS_pvvgw0001/merca28p/DATA_NET_INC_pasivo";"Esta retrasandose";"JOB (pvvgl0305.ccv.mercadona.com)"
